link,t,x,delta_t,delta_x,q,k,v
link1,1080,800.0,120,100.0,0.5416666666666666,0.04270833333333333,12.682926829268293
link1,1080,900.0,120,100.0,0.6145833333333334,0.03333333333333333,18.4375
link2,0,0.0,120,100.0,0.0,0.0,20.0
link2,0,100.0,120,100.0,0.0,0.0,20.0
link2,0,200.0,120,100.0,0.0,0.0,20.0
link2,0,300.0,120,100.0,0.0,0.0,20.0
link2,0,400.0,120,100.0,0.0,0.0,20.0
link2,0,500.0,120,100.0,0.0,0.0,20.0
link2,0,600.0,120,100.0,0.0,0.0,20.0
link2,0,700.0,120,100.0,0.0,0.0,20.0
link2,0,800.0,120,100.0,0.0,0.0,20.0
link2,0,900.0,120,100.0,0.0,0.0,20.0
link2,120,0.0,120,100.0,0.0,0.0,20.0
link2,120,100.0,120,100.0,0.0,0.0,20.0
link2,120,200.0,120,100.0,0.0,0.0,20.0
link2,120,300.0,120,100.0,0.0,0.0,20.0
link2,120,400.0,120,100.0,0.0,0.0,20.0
link2,120,500.0,120,100.0,0.0,0.0,20.0
link2,120,600.0,120,100.0,0.0,0.0,20.0
link2,120,700.0,120,100.0,0.0,0.0,20.0
link2,120,800.0,120,100.0,0.0,0.0,20.0
link2,120,900.0,120,100.0,0.0,0.0,20.0
link2,240,0.0,120,100.0,0.0,0.0,20.0
link2,240,100.0,120,100.0,0.0,0.0,20.0
link2,240,200.0,120,100.0,0.0,0.0,20.0
link2,240,300.0,120,100.0,0.0,0.0,20.0
link2,240,400.0,120,100.0,0.0,0.0,20.0
link2,240,500.0,120,100.0,0.0,0.0,20.0
link2,240,600.0,120,100.0,0.0,0.0,20.0
link2,240,700.0,120,100.0,0.0,0.0,20.0
link2,240,800.0,120,100.0,0.0,0.0,20.0
link2,240,900.0,120,100.0,0.0,0.0,20.0
link2,360,0.0,120,100.0,0.0,0.0,20.0
link2,360,100.0,120,100.0,0.0,0.0,20.0
link2,360,200.0,120,100.0,0.0,0.0,20.0
link2,360,300.0,120,100.0,0.0,0.0,20.0
link2,360,400.0,120,100.0,0.0,0.0,20.0
link2,360,500.0,120,100.0,0.0,0.0,20.0
link2,360,600.0,120,100.0,0.0,0.0,20.0
link2,360,700.0,120,100.0,0.0,0.0,20.0
link2,360,800.0,120,100.0,0.0,0.0,20.0
link2,360,900.0,120,100.0,0.0,0.0,20.0
link2,480,0.0,120,100.0,0.45833333333333337,0.024479166666666666,18.72340425531915
link2,480,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link2,480,200.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link2,480,300.0,120,100.0,0.375,0.01875,20.0
link2,480,400.0,120,100.0,0.36458333333333337,0.018229166666666668,20.0
link2,480,500.0,120,100.0,0.33333333333333337,0.016666666666666666,20.000000000000004
link2,480,600.0,120,100.0,0.2916666666666667,0.014583333333333332,20.000000000000004
link2,480,700.0,120,100.0,0.2916666666666667,0.014583333333333332,20.000000000000004
link2,480,800.0,120,100.0,0.25,0.0125,20.0
link2,480,900.0,120,100.0,0.23958333333333331,0.0140625,17.037037037037035
link2,600,0.0,120,100.0,0.5833333333333334,0.03177083333333333,18.36065573770492
link2,600,100.0,120,100.0,0.625,0.03125,20.0
link2,600,200.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link2,600,300.0,120,100.0,0.6145833333333334,0.030729166666666665,20.000000000000004
link2,600,400.0,120,100.0,0.59375,0.0296875,20.0
link2,600,500.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link2,600,600.0,120,100.0,0.625,0.03125,20.0
link2,600,700.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
